Country name,Regional indicator,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Dystopia + residual
Mauritius,Sub-Saharan Africa,9.956786156,0.910357833,66.40434265,0.889534533,-0.018318573,0.8053430909999999,2.006720543
Kazakhstan,Commonwealth of Independent States,10.11465836,0.934744895,64.60996246,0.811601937,-0.068488635,0.7644908429999999,2.021602631
Estonia,Central and Eastern Europe,10.34001732,0.9347299929999999,68.60495758,0.87770915,-0.111697771,0.623073816,1.629928112
Philippines,Southeast Asia,8.993545532,0.8467300529999999,61.92676163,0.915463448,-0.105463006,0.7336341140000001,2.501741886
Hungary,Central and Eastern Europe,10.24924374,0.921934128,67.60997009,0.718964577,-0.19432301800000001,0.892916501,2.1218457219999998
Thailand,Southeast Asia,9.741791725,0.8899732229999999,67.25059509,0.905063033,0.268685192,0.8862723109999999,1.8323841090000001
Argentina,Latin America and Caribbean,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.8420098420000001,2.072540998
Honduras,Latin America and Caribbean,8.424534798,0.821870148,67.19876862,0.870603263,0.086969115,0.801131904,2.464295387
Latvia,Central and Eastern Europe,10.17531967,0.9182885890000001,66.8074646,0.671237648,-0.186888844,0.7955800890000001,2.121283054
Ecuador,Latin America and Caribbean,9.246058463999999,0.836418986,68.50003815,0.8598289490000001,-0.127014965,0.8012151120000001,2.254933834
Portugal,Western Europe,10.26374245,0.8865907190000001,72.40202332,0.8887478109999999,-0.220714301,0.8926295040000001,1.752558708
Jamaica,Latin America and Caribbean,9.006250381000001,0.9157018659999999,67.09999847,0.8580685259999999,-0.12510676699999998,0.8888900279999999,2.214436531
South Korea,East Asia,10.51056671,0.7993871570000001,73.60272979999999,0.6129651070000001,-0.043404032,0.789067447,1.946757078
Japan,East Asia,10.57968903,0.883545935,75.00096893,0.8099613790000001,-0.24691034899999997,0.654558063,1.4862003330000002
Peru,Latin America and Caribbean,9.456313133,0.8310752509999999,68.10023499,0.8247660990000001,-0.16238822,0.8937149640000001,2.213499546
Serbia,Central and Eastern Europe,9.680980682000001,0.881475747,68.21020508,0.726495862,-0.073676221,0.843509018,2.0290400980000003
Bolivia,Latin America and Caribbean,8.851115227000001,0.803108692,63.6004715,0.875873327,-0.09168113,0.8226062059999999,2.425928593
Pakistan,South Asia,8.482727051,0.689062297,58.25313568,0.734833717,0.04489987,0.7457054259999999,2.9768767360000004
Paraguay,Latin America and Caribbean,9.389982224,0.8987278940000001,65.63993835,0.885923445,0.007997713,0.8347885009999999,1.83412528
Dominican Republic,Latin America and Caribbean,9.664880753,0.882085383,65.80748749,0.8662027720000001,-0.131263286,0.755999923,1.844246864
Bosnia and Herzegovina,Central and Eastern Europe,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,0.933769107,2.16724205
Moldova,Commonwealth of Independent States,8.776714325,0.843313575,65.01301575,0.721609175,-0.037741039,0.913314283,2.370968342
Tajikistan,Commonwealth of Independent States,8.024810791,0.835297108,64.10459137,0.831383407,-0.025088511,0.5920760629999999,2.25650835
Montenegro,Central and Eastern Europe,9.751860619,0.855314612,68.50534821,0.649565637,-0.075600356,0.7831215859999999,1.880565882
Russia,Commonwealth of Independent States,10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,0.864802599,1.815716743
Kyrgyzstan,Commonwealth of Independent States,8.148405075,0.8872284890000001,64.10601044,0.909374893,0.15477205800000002,0.888396084,2.0602066519999997
Belarus,Commonwealth of Independent States,9.779945374,0.90674746,66.10433197,0.6391630770000001,-0.164926544,0.63571167,1.8069911
North Cyprus,Western Europe,10.40570259,0.820356607,73.70222473,0.79529351,0.00022715900000000003,0.62611568,1.23668766
Greece,Western Europe,10.13232613,0.8143803479999999,72.40525818,0.5413451189999999,-0.30090737300000003,0.8599314090000001,2.016179085
Hong Kong S.A.R. of China,East Asia,10.934671400000001,0.8459690809999999,76.77170563,0.7798337940000001,0.134979904,0.420607209,0.673293114
Croatia,Central and Eastern Europe,10.07087517,0.874623716,70.21490479,0.714838803,-0.128538325,0.916495264,1.676029205
Libya,Middle East and North Africa,9.789815903,0.8259429340000001,62.29999924,0.773157001,-0.085054487,0.668779135,1.888563156
Mongolia,East Asia,9.412186623,0.9371424909999999,62.30448532,0.693351328,0.09809386699999999,0.863511205,1.8105275630000002
Malaysia,Southeast Asia,10.26251888,0.816509426,67.10215759,0.8946268559999999,0.11472679699999999,0.8393023009999999,1.319420815
Vietnam,Southeast Asia,8.809545517,0.849987149,67.95273590000001,0.939592957,-0.094533332,0.79642123,1.685977936
Indonesia,Southeast Asia,9.36975193,0.808379889,62.15584946,0.8706144090000001,0.519586504,0.876296401,1.4795734880000002
Ivory Coast,Sub-Saharan Africa,8.225561142,0.658048689,49.50377274,0.727909327,-0.043991156,0.7907719609999999,3.081022501
Benin,Sub-Saharan Africa,7.674319744,0.46867114299999996,54.31246567,0.735182583,-0.003537213,0.7405325770000001,3.440809727
Maldives,South Asia,9.518632889,0.91316092,70.59999847,0.8539627790000001,0.038085497999999995,0.824211061,1.098674774
Congo (Brazzaville),Sub-Saharan Africa,8.536987305,0.6402280929999999,57.92448044,0.7190585140000001,-0.123674095,0.7517790790000001,2.7226195339999997
Azerbaijan,Commonwealth of Independent States,9.687726974,0.819308281,65.50839996,0.786824107,-0.24025528100000001,0.55253756,1.507632971
Macedonia,Central and Eastern Europe,9.510591507000001,0.820392311,67.50442505,0.738840938,-0.019877451,0.8974905009999999,1.6175949569999999
Ghana,Sub-Saharan Africa,8.350645065,0.728601098,57.20398712,0.794796526,0.09417085300000001,0.8479647640000001,2.378437281
Nepal,South Asia,7.925357342000001,0.785512447,63.77917862,0.797565043,0.154168829,0.7380991579999999,2.014386892
Turkey,Middle East and North Africa,10.12941933,0.826313555,66.90281677,0.6088304520000001,-0.17104643600000002,0.748197377,1.5648167130000001
China,East Asia,9.688568115,0.798760593,69.2891922,0.898517907,-0.18142575,0.7539710999999999,1.336181879
Turkmenistan,Commonwealth of Independent States,9.74803257,0.958966196,62.21170807,0.8264570240000001,0.187671542,0.883691847,1.115337372
Bulgaria,Central and Eastern Europe,9.869318962000001,0.937840343,66.80397797,0.745178163,-0.143908441,0.9355851409999999,1.2949614520000001
Morocco,Middle East and North Africa,8.940313339,0.5926284789999999,65.89624023,0.772072434,-0.240377247,0.8157246109999999,2.378402472
Cameroon,Sub-Saharan Africa,8.118647575,0.700386405,52.704940799999996,0.7630518079999999,-0.00149645,0.8513365979999999,2.719370842
Venezuela,Latin America and Caribbean,8.977793693999999,0.890408158,66.50534058,0.62327832,-0.16909050899999997,0.837038398,1.74484086
Algeria,Middle East and North Africa,9.537964821000001,0.8033851390000001,65.90517426,0.46661090899999996,-0.121105164,0.7354851370000001,1.8408117290000001
Senegal,Sub-Saharan Africa,8.118982315,0.723616004,59.59915161,0.6905961629999999,-0.052335154,0.808785141,2.405123949
Guinea,Sub-Saharan Africa,7.750990391,0.637573481,54.46780014,0.7068467740000001,0.076328471,0.761794448,2.740729809
Niger,Sub-Saharan Africa,6.842166901000001,0.617435038,53.50009537,0.759772122,0.013860817,0.722530186,3.017630577
Laos,Southeast Asia,8.79858017,0.7375022170000001,58.70992279,0.907213569,0.11137148,0.634679317,1.621152639
Albania,Central and Eastern Europe,9.417930603,0.671070457,68.70813751,0.7819942240000001,-0.042309489000000006,0.896303713,1.640897036
Cambodia,Southeast Asia,8.249890327000001,0.773080647,61.52996826,0.9597046379999999,0.051911179,0.8227690459999999,1.663300037
Bangladesh,South Asia,8.287063599,0.687292993,64.50306702,0.90062499,-0.033664726,0.661843538,1.755261898
Gabon,Sub-Saharan Africa,9.680537224,0.787886858,59.71533966,0.7048292159999999,-0.22226162300000002,0.8491509559999999,1.7350275519999998
South Africa,Sub-Saharan Africa,9.403370857,0.8525322679999999,56.50601196,0.7593300940000001,-0.10977732400000001,0.843423843,1.6251173019999998
Iraq,Middle East and North Africa,9.661095619,0.7476949690000001,59.90354919,0.633182645,-0.06956476,0.82226181,1.752173662
Lebanon,Middle East and North Africa,9.3617239,0.824338138,67.10658264,0.5513575079999999,-0.06121527,0.90225625,1.53554225
Burkina Faso,Sub-Saharan Africa,7.46854496,0.7129436140000001,53.88945389,0.665563583,-0.019080516000000002,0.739795029,2.588826418
Gambia,Sub-Saharan Africa,7.321814537000001,0.6931687,55.01201629999999,0.733163178,0.34319871700000004,0.6907178159999999,2.270216465
Mali,Sub-Saharan Africa,7.629852295,0.7314689759999999,51.72698212,0.71156615,-0.044366925999999994,0.839328408,2.559335232
Nigeria,Sub-Saharan Africa,8.57662487,0.73721689,49.86190796,0.759578407,0.033745807,0.861874342,2.2196354869999997
Armenia,Commonwealth of Independent States,9.100476265,0.7574794290000001,66.75065613,0.7120178340000001,-0.13877961,0.7735447879999999,1.468161583
Georgia,Commonwealth of Independent States,9.226100922,0.629033029,64.49520874,0.8016415240000001,-0.22892037,0.665944695,1.69239831
Iran,Middle East and North Africa,9.813719749,0.6946896909999999,66.00614929,0.647873282,0.11789110300000001,0.714635968,1.286969423
Jordan,Middle East and North Africa,9.025999069,0.80216372,66.79975128,0.75104779,-0.162565202,0.700344324,1.262258053
Mozambique,Sub-Saharan Africa,7.069345951,0.723874032,54.20582199,0.864451885,0.032375867999999995,0.683019102,2.221216202
Kenya,Sub-Saharan Africa,8.02977562,0.702652037,60.09693146,0.829747558,0.294681519,0.831499159,1.684904575
Namibia,Sub-Saharan Africa,9.203141212,0.846880972,56.50148773,0.767520964,-0.18530646,0.8514497879999999,1.5030331609999998
Ukraine,Commonwealth of Independent States,9.010690689,0.878879368,64.60678101,0.663081884,-0.030933706000000002,0.920636714,1.2526693340000001
Liberia,Sub-Saharan Africa,7.054380417000001,0.70928055,56.09631348,0.735268712,0.04227322,0.8563759329999999,2.386757851
Palestinian Territories,Middle East and North Africa,8.389223099,0.825295925,62.25,0.645791829,-0.162079096,0.824199975,1.693985701
Uganda,Sub-Saharan Africa,7.500389576,0.7649946209999999,55.70820236,0.7317139509999999,0.099487431,0.8367378120000001,1.9586710930000002
Chad,Sub-Saharan Africa,7.467963696,0.632388055,48.22053909,0.587305248,0.017834719,0.8027608390000001,2.74742651
Tunisia,Middle East and North Africa,9.314972877999999,0.6887185570000001,66.89785767,0.593361557,-0.216413811,0.867590249,1.528496742
Mauritania,Sub-Saharan Africa,8.233919144,0.7908192279999999,57.01017761,0.551522553,-0.10600814199999999,0.746223509,1.85955739
Sri Lanka,South Asia,9.389969826,0.825374067,67.20006561,0.837633669,0.081129618,0.859001756,0.611288548
Congo (Kinshasa),Sub-Saharan Africa,6.694256306000001,0.6721590159999999,52.90000153,0.700793564,0.083637655,0.809403598,2.437864304
Swaziland,Sub-Saharan Africa,9.16267395,0.7702901959999999,51.18823624,0.646822274,-0.19920142,0.708263338,1.6862072940000001
Myanmar,Southeast Asia,8.680481911000001,0.78440702,58.96171188,0.895075202,0.560663998,0.645124316,0.6814625259999999
Comoros,Sub-Saharan Africa,7.833630085,0.625662446,57.34901047,0.547612607,0.09000840800000001,0.780622602,2.17276907
Togo,Sub-Saharan Africa,7.357711315,0.551312625,54.71989822,0.6498286129999999,0.002667875,0.7577334640000001,2.409595251
Ethiopia,Sub-Saharan Africa,7.5093855860000005,0.743307352,58.63959122,0.740795195,0.043377332000000005,0.7536900040000001,1.628459215
Madagascar,Sub-Saharan Africa,7.281685829,0.668195903,59.10542679,0.5575740929999999,-0.011823638999999999,0.8174856309999999,2.136298418
Egypt,Middle East and North Africa,9.316541672,0.7354478240000001,61.78015137,0.708354175,-0.196878314,0.787726879,1.158818245
Sierra Leone,Sub-Saharan Africa,7.26880312,0.636142015,50.86514282,0.715315044,0.088660747,0.861330688,2.046271801
Burundi,Sub-Saharan Africa,6.492642403,0.490325719,53.40000153,0.626350224,-0.017551597,0.606934547,2.4015073780000002
Zambia,Sub-Saharan Africa,8.224720001,0.698824465,55.29937744,0.806500256,0.078037128,0.801289678,1.134339333
Haiti,Latin America and Caribbean,7.411329268999999,0.593247831,55.59862518,0.537825167,0.40053457,0.6847672459999999,1.619916916
Lesotho,Sub-Saharan Africa,7.9604883189999995,0.7804957029999999,48.00362396,0.738125861,-0.145732045,0.857392073,1.445513964
India,South Asia,8.849823952000001,0.592200935,60.21518707,0.8814448709999999,0.057551607000000005,0.772042692,0.7341308590000001
Malawi,Sub-Saharan Africa,7.062226295,0.544007301,57.59288788,0.803223193,0.021433279,0.731700778,1.5527182819999998
Yemen,Middle East and North Africa,7.759682655,0.817980587,56.72728348,0.599920273,-0.157735437,0.800287724,1.1164727209999998
Botswana,Sub-Saharan Africa,9.711203575,0.7791217570000001,58.92445374,0.8213281040000001,-0.250394493,0.777930915,0.25724053399999997
Tanzania,Sub-Saharan Africa,7.967665195,0.6889331940000001,57.49607468,0.82153976,0.10966868699999999,0.619799435,0.718963385
Central African Republic,Sub-Saharan Africa,6.625160217,0.31945985600000004,45.20000076,0.640880644,0.082410358,0.891806662,2.8601975439999996
Rwanda,Sub-Saharan Africa,7.600104332000001,0.54083544,61.09884644,0.9005894059999999,0.055483952,0.183541179,0.548444986
Zimbabwe,Sub-Saharan Africa,7.865711688999999,0.7630927559999999,55.61725998,0.711457908,-0.072063953,0.81023699,0.841031075
South Sudan,Sub-Saharan Africa,7.425359726,0.553707123,51.0,0.451313615,0.016518548,0.7634173040000001,1.3787512780000002
Afghanistan,South Asia,7.4628605839999995,0.470366955,52.59000015,0.39657300700000003,-0.0964294,0.9336865540000001,1.507235646
